hom_2_9 write%2:32:03:: place%2:32:00::
hom_829_17 stripe%1:07:00:: know%2:31:14::
hom_833_11 fathead%1:18:00:: normal%5:00:00:perpendicular:00
hom_834_13 crown%1:06:04:: crown%2:35:00::
hom_835_19 cleanse%2:29:00:: lam%1:04:00::
hom_836_7 leak%2:32:01:: leak%2:30:00::
hom_838_10 call%2:32:01:: operator%1:18:03::
hom_843_15 testis%1:08:00:: away%4:02:02::
hom_845_9 veracious%5:00:00:accurate:00 shoe%2:29:00::
hom_847_26 shed%2:35:01:: drop%2:29:00::
hom_848_14 plate%2:35:00:: lunch%2:34:01::
hom_851_8 swing%2:35:00:: die%2:30:02::
hom_852_12 touch%2:35:00:: discourse%1:10:00::
hom_854_10 run%2:42:04:: meet%5:00:00:just:00
hom_855_5 change%2:30:03:: meter%2:35:00::
hom_857_15 stroke%1:04:00:: cervid%1:05:00::
hom_858_6 digital%3:00:00:: supplicant%1:18:01::
hom_860_8 sweetness%1:07:00:: dream%2:39:00::
hom_863_5 fallout%1:27:00:: fallout%1:19:00::
hom_864_25 solution%1:10:00:: chemical_substance%1:27:00::
hom_866_26 cream%1:14:00:: forklift%1:06:00::
hom_868_16 entrance%1:06:00:: entranced%5:00:00:enchanted:00
hom_870_15 clog_dance%1:04:00:: shoe%2:29:00::
hom_871_10 pile%1:21:00:: bale%2:35:00::
hom_872_9 track%1:04:00:: track%2:36:00::
hom_873_10 spend%2:40:01:: come%2:31:13::
hom_876_9 plug%2:30:00:: plug%2:30:02::
hom_877_9 uproot%2:36:00:: root_out%2:35:00::
hom_878_10 chemistry%1:09:00:: teacher%1:09:00::
hom_881_11 lead%1:09:00:: track%2:36:00::
hom_886_12 exercise%2:29:01:: trainer%1:06:00::
hom_890_5 tire%2:29:01:: sleeping%5:00:00:unerect:00
hom_891_9 scramble%2:30:00:: breakfast%2:34:01::
hom_897_15 perplex%2:31:00:: invent%2:36:01::
hom_898_6 shuttlecock%1:06:00:: player%1:18:03::
hom_901_10 radiance%1:19:00:: get_down%2:38:01::
hom_903_7 boom%2:30:00:: dynamite%2:30:00::
hom_906_4 plant%2:31:00:: firmly%4:02:01::
hom_907_13 ear%1:20:00:: some_other%5:00:00:other:00
hom_908_19 tear%2:38:00:: bullet%1:04:00::
hom_910_8 drone%1:05:00:: male%5:00:01:male:00
hom_911_15 garnishee%2:40:00:: put_up%2:31:00::
hom_912_9 express%1:06:00:: resolve%2:31:02::
hom_914_7 rare%5:00:00:raw:00 occasion%2:36:00::
hom_915_16 observant%5:00:00:perceptive:00 minutia%1:09:00::
hom_916_8 footing%1:24:00:: found%2:31:00::
hom_917_15 open_fire%2:33:00:: blacksmith%1:18:00::
hom_918_17 dry%2:30:00:: said%5:00:00:same:02
hom_920_11 explosion%1:11:00:: convening%1:04:00::
hom_923_6 publish%2:32:00:: time%2:30:06::
hom_924_10 cut%2:35:13:: lose%2:30:03::
hom_925_10 dock%2:35:00:: show%2:33:00::
hom_929_13 amiss%5:00:00:malfunctioning:00 wrong%5:00:00:malfunctioning:00
hom_934_10 spirit%2:30:00:: inspirit%2:30:00::
hom_937_22 complex%1:12:00:: residential%3:01:00::
hom_938_8 split%1:15:00:: die%2:30:02::
hom_939_6 space%2:38:00:: welcome%3:00:00::
hom_941_28 change%1:21:01:: ring%2:32:00::
hom_942_10 throw%1:11:00:: die%2:30:02::
hom_943_9 leaf%2:29:00:: fun%1:07:00::
hom_945_14 stack%2:35:06:: well-endowed%5:00:00:shapely:00
hom_946_12 drive%2:38:09:: ambition%2:37:00::
hom_949_17 knock%2:32:02:: door%1:06:03::
hom_954_13 occupation%1:04:00:: call%2:29:05::
hom_956_8 leap%2:30:00:: leap%2:38:10::
hom_958_15 toast%2:34:00:: burnt%5:00:00:cooked:00
hom_959_15 postmark%2:35:00:: frank%5:00:00:obvious:00
hom_960_13 whirl%2:38:02:: dealer%1:18:01::
hom_962_16 operate_on%2:29:00:: know%2:31:14::
hom_964_13 conduct%2:36:04:: leader%1:06:00::
hom_968_1 leap%2:30:00:: conclusion%1:04:01::
hom_969_14 fudge%2:41:00:: book%2:41:03::
hom_970_8 run_down%2:40:00:: die%2:30:02::
hom_971_6 bless%2:32:02:: god%1:06:00::
hom_972_8 trail%2:35:03:: away%4:02:02::
hom_973_7 beady%5:00:00:bright:00 eyeball%2:39:00::
hom_974_8 downhill%4:02:01:: retired%5:00:00:inactive:08
hom_976_13 wrench%1:26:00:: together%4:02:05::
hom_984_21 lock%1:06:01:: key%2:30:00::
hom_985_11 signboard%1:06:00:: interpretive_program%1:10:00::
hom_987_10 calf%1:05:01:: calf%1:05:01::
hom_990_11 plant%2:31:00:: come%2:31:13::
hom_992_21 poacher%1:06:00:: sea_poker%1:05:00::
hom_993_19 reservation%1:04:00:: american%3:01:00::
hom_994_11 stave%1:06:00:: famish%2:34:00::
hom_995_17 calf%1:05:01:: together%4:02:05::
hom_996_16 shed%2:35:01:: enterpriser%1:18:00::
hom_998_19 pull_the_leg_of%2:32:00:: goat%1:15:00::
hom_1002_11 target%2:33:00:: die%2:30:02::
hom_1004_12 stalk%2:38:03:: stalk%2:38:03::
hom_1006_11 staff%1:14:00:: dealer%1:18:03::
hom_1007_15 spirit%1:26:00:: campy%5:00:00:tasteless:02
hom_1010_9 reflective%5:00:00:intellectual:00 reflective%5:00:00:intellectual:00
hom_1013_5 wiretap%2:39:00:: natural%5:00:00:unaffected:01
hom_1014_17 drift%2:30:00:: yelled%5:00:00:loud:00
hom_1015_13 tune%1:10:00:: any_longer%4:02:01::
hom_1016_18 prison_term%1:28:00:: punctuation%1:04:00::
hom_1017_15 picket%1:06:00:: constructor%1:18:00::
hom_1018_7 turn%2:42:13:: sleeve%1:06:02::
hom_1020_7 absorb%2:35:00:: sponge%2:35:03::
hom_1024_12 joining%1:04:00:: die%2:30:02::
hom_1025_8 try%2:30:00:: liquified%3:00:04::
hom_1028_20 take%2:38:05:: student%1:18:01::
hom_1030_8 state_of_matter%1:26:00:: flow%2:29:00::
hom_1031_11 circulation%1:23:00:: newspaper_publisher%1:18:00::
hom_1032_11 stern%1:06:00:: warning%5:00:00:dissuasive:00
hom_1034_16 dark%3:00:01:: submit%2:31:00::
hom_1035_11 hum%2:42:00:: touched%3:00:01::
hom_1036_13 visualize%2:36:00:: sticking_out%5:00:00:protrusive:00
hom_1037_7 bull%1:18:00:: die%2:30:02::
hom_1039_9 open_fire%2:33:00:: round_shot%1:06:00::
hom_1040_8 train%2:31:01:: underdeveloped%5:00:00:nonindustrial:00
hom_1042_7 light%2:30:00:: experience%2:30:00::
hom_1043_10 rejoinder%1:10:00:: counter%4:02:00::
hom_1044_12 strike%2:31:00:: figure%2:31:02::
hom_1045_12 net%2:35:00:: put_on%2:29:03::
hom_1049_7 legend%1:10:01:: full%4:02:01::
hom_1050_8 love%1:23:00:: mean%2:31:05::
hom_1052_18 snip%2:35:00:: whip%2:32:00::
hom_1053_2 total%2:42:00:: ready%5:00:00:intelligent:00
hom_1054_4 turf%2:35:00:: turf%2:35:00::
hom_1056_43 attend%2:41:12:: toronto%1:15:00::
hom_1057_9 pine%1:20:02:: sawbones%1:18:00::
hom_1058_9 rescue%1:04:00:: perfect%5:00:00:exact:00
hom_1060_15 sentence%2:32:00:: expect%2:29:00::
hom_1061_13 spectacle%1:04:00:: pass_water%2:29:00::
hom_1062_9 withdrawal%1:04:00:: symptom%1:10:00::
hom_1063_13 take%2:33:08:: scatty%5:00:00:inattentive:00
hom_1065_14 play%2:29:00:: floor%2:35:00::
hom_1066_15 unwrap%2:32:00:: remains%1:08:00::
hom_1067_16 serve%2:33:01:: serve%2:33:01::
hom_1071_18 standard%5:00:00:regular:00 banner%1:06:01::
hom_1072_17 inure%2:30:00:: felonious%5:00:00:illegal:00
hom_1073_17 volume%1:07:02:: intensity%1:07:02::
hom_1074_12 pilfer%2:40:00:: fisher%1:18:00::
hom_1078_8 monumental%5:00:00:significant:00 occasion%2:36:00::
hom_1079_13 texture%1:07:03:: fannie_merritt_farmer%1:18:00::
hom_1082_12 core%2:35:00:: buckle_under%2:32:00::
hom_1084_12 space%2:38:00:: column%1:08:00::
hom_1085_10 fly%2:35:01:: sturm_und_drang%1:26:00::
hom_1090_18 ramp%2:42:00:: pass_water%2:29:00::
hom_1091_1 respect%2:41:00:: bring_forth%2:29:00::
hom_1092_12 heart%1:07:04:: locket%1:06:00::
hom_1093_12 circulation%1:04:00:: donor%1:18:01::
hom_1100_13 snag%2:35:01:: snag%2:35:01::
hom_1101_21 bloomer%1:20:00:: instead%4:02:01::
hom_1102_13 mole%1:05:00:: gardener%1:18:01::
hom_1103_8 walk%2:38:05:: played%3:44:00::
hom_1107_22 stand-in%1:18:00:: topography%1:09:00::
hom_1109_4 urge%1:12:00:: sufferer%1:18:01::
hom_1111_3 neglect%2:31:00:: up%5:00:00:rising:00
hom_1114_5 foundation%1:09:01:: education%1:14:00::
hom_1116_16 pit%1:17:00:: cavum%1:08:00::
hom_1117_7 dead%5:00:00:inactive:03 plenty%4:02:00::
hom_1119_44 senesce%2:30:00:: juvenility%1:07:00::
hom_1122_14 hive%2:38:00:: stung%5:00:00:displeased:00
hom_1123_18 unvoiced%3:00:00:: grave%2:35:01::
hom_1124_10 symmetry%1:07:00:: balance%2:42:01::
hom_1126_6 calf%1:05:01:: sore%5:00:00:angry:00
hom_1130_14 exercise%1:04:02:: time%2:30:06::
hom_1132_12 beginning%1:15:00:: root%2:30:01::
hom_1133_10 current%1:19:01:: worried%5:00:00:uneasy:00
hom_1135_12 pool%2:33:00:: pool%2:33:00::
hom_1136_16 concentration%1:04:02:: succus%1:08:00::
hom_1139_14 train%2:31:01:: developed%5:00:00:improved:00
hom_1140_25 fault%1:17:00:: unadulterated%5:00:00:unmitigated:00
hom_1143_2 tear%2:38:00:: give_ear%2:39:00::
hom_1147_10 draw%2:36:00:: manufacture%2:36:02::
hom_1148_18 ice-cream_soda%1:13:00:: loan%2:40:00::
hom_1151_20 sum%1:06:00:: quarry%2:34:00::
hom_1153_10 call%2:32:01:: want%2:42:01::
hom_1155_10 evolve%2:30:00:: evolve%2:30:03::
hom_1156_8 reception%1:04:00:: splendid%5:00:00:superior:02
hom_1158_9 put%2:35:00:: set%5:00:00:arranged:00
hom_1160_16 elimination%1:22:00:: med%1:10:00::
hom_1161_13 reservation%1:10:00:: eatery%1:06:00::
hom_1162_8 lumber%2:38:00:: around%4:02:02::
hom_1164_24 pan%2:32:00:: attempted%5:00:00:unsuccessful:00
hom_1165_9 downhill%4:02:01:: tight%4:02:00::
hom_1166_4 nursing%1:04:01:: give_suck%2:34:00::
hom_1168_14 pull_the_leg_of%2:32:00:: she-goat%1:05:00::
hom_1171_21 dinge%2:30:01:: batter%2:30:00::
hom_1172_3 salivate%2:37:00:: dribble%2:29:00::
hom_1173_8 strain%2:35:02:: name%2:31:01::
hom_1174_9 hunger%1:07:00:: purification%1:04:01::
hom_1175_13 tune%2:30:00:: radio%3:01:00::
hom_1179_7 scale%2:40:00:: surround%2:33:01::
hom_1181_19 bust%1:04:00:: hooter%1:05:00::
hom_1182_18 fit%2:30:02:: fit%3:00:01::
hom_1184_18 boot%2:29:00:: system%1:07:00::
hom_1185_8 recuperate%2:29:00:: die%2:30:02::
hom_1186_14 hit%1:04:02:: linked%5:00:00:connected:00
hom_1190_11 rich%5:00:00:unwholesome:00 afters%1:13:00::
hom_1191_15 stripe%1:07:00:: ithiel_town%1:18:00::
hom_1192_9 entrance%1:06:00:: threshold%1:06:02::
hom_1194_16 straight%3:00:05:: ball%2:35:00::
hom_1195_13 world%1:09:00:: said%5:00:00:same:02
hom_1198_10 retain%2:40:00:: hold%2:29:04::
hom_1200_7 wind%2:35:06:: die%2:30:02::
hom_1201_6 wave%2:29:00:: submarine%2:33:00::
hom_1211_5 load%2:35:02:: gun%2:33:00::
hom_1213_18 swallow%2:34:00:: steak%1:13:00::
hom_1214_9 woof%1:06:00:: help%2:30:13::
hom_1215_14 while%1:28:00:: low-spirited%5:00:00:dejected:00
hom_1217_9 shelve%2:35:10:: shelve%2:35:10::
hom_1219_13 chicken%1:05:01:: seat%2:41:00::
hom_1224_17 whirl%2:38:02:: rotate%2:30:04::
hom_1225_21 grass%1:20:00:: center%3:00:00::
hom_1227_6 take%2:33:08:: falco_subbuteo%1:05:00::
hom_1229_12 still%4:02:01:: stock-still%4:02:00::
hom_1232_16 drive%1:07:00:: ambition%2:37:00::
hom_1234_12 run%2:38:01:: railroad%2:38:00::
hom_1236_14 penetrate%2:31:00:: aground%4:02:00::
hom_1238_5 effort%1:04:01:: deodourant%1:06:00::
hom_1239_12 union%1:14:03:: defending%5:00:00:defensive:00
hom_1241_4 shunt%1:06:01:: get_around%2:32:01::
hom_1245_4 stay%2:30:00:: stay%2:42:04::
hom_1246_7 vegetate%2:29:01:: die%2:30:02::
hom_1247_8 refine%2:30:05:: embrocate%2:29:00::
hom_1248_13 manila%1:15:00:: gasbag%1:06:00::
hom_1249_8 casting%1:04:02:: fish%2:33:00::
hom_1251_18 turning%1:11:00:: jacket%2:29:00::
hom_1260_27 cinch%1:06:00:: injury%1:04:01::
hom_1262_11 sift%2:35:00:: door%1:06:03::
hom_1267_16 management%1:04:00:: apprehend%2:31:00::
hom_1268_10 milk%2:34:00:: idea%1:10:00::
hom_1269_11 hell%1:09:02:: die%2:30:02::
hom_1270_9 wrapping%1:06:00:: sheet%2:35:00::
hom_1271_11 classified_ad%1:10:00:: politics%1:04:01::
hom_1275_20 channel%1:06:02:: dish%2:30:00::
hom_1276_7 group%2:33:00:: wanted%5:00:00:loved:00
hom_1277_6 take%2:33:08:: plan%2:36:01::
hom_1278_16 pit%1:17:00:: cavum%1:08:00::
hom_1279_18 heating_system%1:06:00:: spherical%5:00:00:round:00
hom_1281_7 draw%2:37:01:: enemy%1:18:01::
hom_1282_9 unstrung%5:00:00:discomposed:00 unstrung%5:00:00:discomposed:00
hom_1283_15 cold%1:09:00:: surprise%2:33:00::
hom_1284_6 yank%2:35:00:: stopped_up%5:00:00:obstructed:00
hom_1287_16 combination%1:14:02:: invent%2:36:01::
hom_1291_6 rave%2:41:00:: opened%5:00:00:unsealed:01
hom_1292_15 travel%2:38:00:: operator%1:18:03::
hom_1295_8 break%2:35:00:: busted%5:00:00:damaged:00
hom_1296_12 highlight%2:29:00:: school_text%1:10:00::
hom_1298_3 seethe%2:37:00:: boiling%4:02:00::
hom_1300_10 sentence%2:32:00:: doom%2:32:00::
hom_1301_13 shock%1:04:01:: jest%2:29:00::
hom_1302_14 stick%2:35:03:: needle%2:35:00::
hom_1304_11 perpetration%1:04:00:: die%2:30:02::
hom_1305_8 sake%1:07:00:: die%2:30:02::
hom_1308_8 change%1:06:01:: change%2:30:06::
hom_1309_25 fly%1:06:00:: tailor-make%2:36:00::
hom_1310_8 skeleton%1:06:00:: necropolis%1:15:00::
hom_1311_10 rock_'n'_roll%1:10:00:: around%4:02:02::
hom_1312_6 right%4:02:09:: viagra%1:06:00::
hom_1314_14 unwrap%2:32:00:: acne%1:26:00::
hom_1315_7 recognition%1:10:00:: credit%2:31:00::
hom_1317_15 train%2:31:01:: memory%1:09:03::
hom_1320_7 file%2:32:00:: nail%2:33:00::
hom_1323_9 sagacity%1:09:00:: discernment%1:09:00::
hom_1326_16 intestine%1:08:00:: reed_organ%1:06:00::
hom_1327_18 lead%1:09:00:: believe%2:31:02::
hom_1329_8 write%2:32:03:: place%2:32:00::
hom_1331_17 surround%2:35:00:: john_ronald_reuel_tolkien%1:18:00::
hom_1332_18 joining%1:04:00:: connexion%1:04:00::
hom_1334_10 impressed%5:00:00:affected:00 iron%5:00:00:robust:00
hom_1336_9 react%2:30:00:: react%2:30:00::
hom_1339_17 set%2:32:01:: starting%5:00:00:opening:00
hom_1340_7 draw%2:35:02:: drawn%5:00:00:closed:01
hom_1342_12 recourse%1:04:00:: finally%4:02:03::
hom_1343_12 cram%2:31:00:: contemplate%2:31:00::
hom_1344_10 press_out%2:35:09:: express%2:32:09::
hom_1345_16 joining%1:04:00:: operator%1:18:03::
hom_1348_13 lie_down%2:38:00:: song_dynasty%1:14:00::
hom_1349_12 point%1:23:00:: finger%2:32:00::
hom_1351_10 undertaking%1:04:01:: parlour%1:06:01::
hom_1355_4 hot%5:00:00:active:01 item%4:02:00::
hom_1356_15 student%1:18:00:: pupil%1:18:01::
hom_1357_9 axe%2:35:00:: revolve%2:38:02::
hom_1358_9 run%2:42:00:: iii%5:00:00:cardinal:00
hom_1359_26 serf%1:18:00:: follow%2:30:12::
hom_1363_10 trickle%2:38:00:: dribble%2:29:00::
hom_1366_12 touch%2:37:00:: spoon%2:35:01::
hom_1368_13 comfortable%5:00:00:rich:00 condition%2:29:00::
hom_1369_2 smash%2:35:00:: test%2:31:06::
hom_1372_10 test%2:41:00:: try%2:29:00::
hom_1373_9 ridicule%2:32:00:: poke_fun%2:32:00::
hom_1374_14 honkytonk%1:06:00:: ithiel_town%1:18:00::
hom_1377_12 float%2:38:00:: asunder%4:02:00::
hom_1379_8 sustain%2:34:00:: thing%1:03:00::
hom_1381_14 shot%1:04:04:: nervous%5:00:00:excitable:00
hom_1382_12 lie_down%2:38:00:: falsehood%1:04:00::
hom_1383_15 rattle%2:38:00:: snake%2:38:00::
hom_1384_12 brush%1:04:04:: police%2:41:00::
hom_1387_20 wag%1:04:00:: coffee_bar%1:06:00::
hom_1389_8 astronomic%5:00:00:large:00 galactic%5:00:00:large:00
hom_1391_7 polish%1:26:00:: well%4:02:01::
hom_1393_9 chime%2:39:00:: salesman%1:18:00::
hom_1394_8 break_in%2:41:00:: remand%2:41:00::
hom_1395_12 scale%2:30:01:: scale%2:30:01::
hom_1396_10 tune%1:10:00:: kept%3:00:00::
hom_1397_6 strike%2:31:00:: expect%2:29:00::
hom_1400_19 strike%2:32:00:: fellowship%1:14:00::
hom_1401_13 console_table%1:06:00:: steal%2:33:00::
hom_1403_10 visualize%2:36:00:: nearly%4:02:02::
hom_1404_15 roll%2:38:10:: tent%2:42:00::
hom_1407_4 run%2:42:06:: unravel%2:30:01::
hom_1408_13 sentence%2:32:00:: speak%2:39:00::
hom_1410_9 taste%2:31:05:: critic%1:18:02::
hom_1414_16 reproduce%2:29:00:: prof%1:18:00::
hom_1416_20 fall%2:38:03:: together%4:02:05::
hom_1417_10 sake%1:07:00:: interest%2:42:00::
hom_1419_10 brush%1:04:03:: distrait%5:00:00:inattentive:00
hom_1423_15 steer%2:38:00:: channelise%2:35:00::
hom_1424_20 push%2:40:00:: push%2:35:06::
hom_1426_8 loop_topology%1:09:00:: keep%2:30:10::
hom_1427_3 radiate%2:30:02:: radiating%5:00:00:divergent:00
hom_1428_8 punch%2:35:01:: die%2:30:02::
hom_1429_26 unmarried%3:00:00:: mean%5:00:00:contemptible:00
hom_1431_10 fall%2:30:12:: diverse%5:00:02:different:00
hom_1432_10 drawing_card%1:18:00:: attracter%1:18:00::
hom_1433_10 measuring_stick%1:06:00:: value%2:31:00::
hom_1435_17 promote%2:41:00:: calendar_week%1:28:00::
hom_1436_9 shuffle%2:35:00:: player%1:18:03::
hom_1437_15 drive%2:38:09:: cite%2:32:01::
hom_1439_11 tied%5:00:00:equal:00 level%5:00:00:equal:00
hom_1441_9 hiding%1:26:00:: hide%2:30:00::
hom_1442_14 harp%2:36:00:: sure_as_shooting%4:02:00::
hom_1449_20 deal%2:40:06:: shark%2:33:00::
hom_1450_9 release%1:04:05:: pink-slipped%5:00:00:unemployed:00
hom_1452_15 depth%1:07:02:: technician%1:18:01::
hom_1458_1 postage%1:10:00:: stamp%1:10:01::
hom_1462_18 scoop%1:25:00:: financial%3:01:00::
hom_1463_17 concrete%2:30:00:: today%4:02:00::
hom_1466_23 cast%2:41:14:: leg%1:04:00::
hom_1469_4 date%1:28:04:: dated%5:00:00:unfashionable:00
hom_1470_5 tiptoe%2:38:00:: cow%2:37:00::
hom_1471_11 pen_up%2:35:00:: origami%1:04:00::
hom_1477_15 stable_gear%1:06:00:: navigate%2:38:02::
hom_1479_22 plot%1:15:00:: refreshing%5:00:00:new:00
hom_1483_12 moped%1:06:00:: wheel%2:38:06::
hom_1485_15 meter%1:07:00:: learn%2:32:02::
hom_1486_5 candid%5:00:00:ingenuous:00 heart-to-heart%5:00:00:ingenuous:00
hom_1488_18 lead%1:09:00:: stag%2:32:09::
hom_1492_14 run%1:04:01:: situation%1:04:00::
hom_1495_23 develop%2:39:00:: film%2:36:00::
hom_1496_16 shape%1:03:00:: separate%2:31:00::
hom_1497_12 tax_return%1:10:00:: counsel%2:32:00::
hom_1499_9 still%4:02:01:: stock-still%4:02:00::
hom_1501_12 sentient%3:00:00:: require%2:34:00::
hom_1502_7 windows%1:10:00:: advantage%2:41:00::
hom_1503_4 drawn%5:00:00:closed:01 nontextual_matter%1:10:00::
hom_1504_10 function%2:35:00:: function%2:33:00::
hom_1505_22 party%2:41:00:: politics%1:04:01::
hom_1507_15 enlistment%1:28:00:: hitch%2:35:13::
hom_1508_15 put%2:34:00:: u%1:10:00::
hom_1510_7 rocky%5:00:00:difficult:00 sand%2:35:00::
hom_1513_6 standard_atmosphere%1:23:00:: atmosphere%1:07:00::
hom_1514_5 deep%3:00:01:: subject%5:00:00:affected:00
hom_1516_14 travel%2:38:00:: touched%3:00:01::
hom_1517_14 nick%2:35:00:: natal_day%1:28:00::
hom_1518_18 fill%2:30:02:: dental_practitioner%1:18:00::
hom_1519_10 touch%2:35:00:: touch%2:30:01::
hom_1520_7 cinch%1:04:01:: fan%2:35:00::
hom_1521_9 suspend%2:41:00:: school%2:38:00::
hom_1523_14 key%2:30:00:: door%1:06:03::
hom_1527_18 gather%2:35:00:: evasion%1:04:00::
hom_1532_14 rich_people%1:14:00:: cake%2:35:01::
hom_1534_17 pump%2:32:00:: wired%5:00:00:tense:03
hom_1535_10 flawlessly%4:02:00:: dip%2:35:12::
hom_1537_9 odds%1:24:00:: indicate%2:32:02::
hom_1538_6 umbrella%5:00:00:comprehensive:00 organisation%1:04:02::
hom_1539_10 unplug%2:35:00:: operator%1:18:03::
hom_1540_15 unwrap%2:32:00:: detail%2:31:00::
hom_1541_12 partial_derivative%1:09:00:: dislike%2:37:00::
hom_1542_9 twist%2:29:00:: track%1:06:05::
hom_1543_14 execution%1:22:00:: carefully%4:02:02::
hom_1545_17 clean%2:30:01:: clean%5:00:00:unaddicted:00
hom_1547_10 die%2:30:00:: user%1:18:02::
hom_1549_14 strike%2:31:00:: team_up%2:33:00::
hom_1555_11 violate%2:42:00:: leg%1:04:00::
hom_1556_7 foil%1:09:00:: thwarted%5:00:00:unsuccessful:00
hom_1557_6 storm%1:19:00:: soothsayer%1:18:00::
hom_1558_9 accident%1:11:00:: hospitalise%2:40:00::
hom_1559_10 count%2:31:02:: calculating_machine%1:06:00::
hom_1560_7 high%1:26:01:: respond%2:32:00::
hom_1561_16 column%1:10:01:: column%1:08:00::
hom_1563_12 temple%1:06:01:: around%4:02:02::
hom_1564_14 shock%2:37:01:: speaking%3:00:00::
hom_1565_9 unstrung%5:00:00:discomposed:00 unstrung%5:00:00:discomposed:00
hom_1567_13 stride%2:38:03:: changed%5:00:00:metamorphic:00
hom_1569_9 fork%1:06:00:: manufacture%2:36:02::
hom_1570_11 recuperate%2:29:00:: recovered%5:00:00:found:00
hom_1573_6 dry%5:00:00:humorous:00 humour%2:32:00::
hom_1574_15 grave%5:00:00:important:00 ravisher%1:18:00::
hom_1578_10 night%1:28:00:: secret%5:00:00:classified:02
hom_1585_13 reason%1:16:00:: visitation%1:11:00::
hom_1587_9 weed%2:30:00:: weed%2:30:00::
hom_1588_16 write_out%2:32:00:: passing%4:02:00::
hom_1589_13 run%2:30:04:: sweater%1:18:00::
hom_1590_20 tear%2:38:00:: go-cart%1:06:01::
hom_1591_7 faint%5:00:02:indistinct:00 idea%1:10:00::
hom_1592_11 close_up%2:41:00:: manufactory%1:06:00::
hom_1593_4 quarter%1:21:00:: agent%1:10:00::
hom_1596_10 total%2:32:00:: teacher%1:09:00::
hom_1602_20 short%4:02:07:: take_away%2:30:02::
hom_1607_10 accidental%5:00:00:unintended:00 play%2:29:04::
hom_1608_11 chain%1:14:02:: leash%2:35:00::
hom_1609_16 stiffly%4:02:00:: contender%1:18:00::
hom_1610_11 coaster%1:06:00:: tope%2:34:00::
hom_1614_12 premise%2:31:00:: die%2:30:02::
hom_1615_7 gain%2:40:00:: money%1:21:01::
hom_1616_7 roll%2:38:09:: club%2:35:01::
hom_1617_15 stoup%1:06:01:: stoop%2:35:02::
hom_1618_13 vision%1:11:00:: unravel%2:30:01::
hom_1620_11 still%4:02:01:: manufacturing_business%1:14:00::
hom_1622_7 swagger%2:29:00:: meteorologist%1:18:00::
hom_1624_9 disjoint%2:35:02:: separated%5:00:00:injured:00
hom_1625_14 makeup%1:11:00:: session%1:14:00::
hom_1627_10 unblock%2:30:00:: wait%2:31:00::
hom_1628_10 stop%2:38:01:: mobile%5:00:01:changeable:00
hom_1632_15 suffocate%2:30:03:: motor%5:00:00:causative:00
hom_1635_11 point%2:32:11:: track%2:38:00::
hom_1636_11 helicopter%1:06:00:: pilot%2:38:01::
hom_1637_15 mouse%1:06:00:: hop%2:38:01::
hom_1638_12 move%2:38:01:: experience%2:30:00::
hom_1642_6 listening%1:04:00:: forego%2:40:00::
hom_1645_11 play%1:04:00:: chef%1:18:01::
hom_1646_7 latitude%1:07:02:: captain%2:41:00::
hom_1647_10 circulation%1:04:00:: circulation%1:04:00::
hom_1648_11 luminosity%1:07:00:: tolerate%2:32:01::
hom_1650_6 labor%2:41:00:: clarence_shepard_day_jr.%1:18:00::
hom_1651_22 phase%1:07:00:: respond%2:31:01::
hom_1652_8 wallpaper%2:35:00:: indite%2:36:00::
hom_1653_13 unhorse%2:38:00:: optic%1:08:00::
hom_1655_6 tablet%1:06:01:: commandment%1:09:00::
hom_1657_9 level%1:09:00:: egg%2:35:00::
hom_1658_10 pamper%2:41:00:: milk%2:30:01::
hom_1661_12 bang%1:12:00:: equus_asinus%1:05:01::
hom_1663_8 unwind%2:35:00:: die%2:30:02::
hom_1666_5 share%1:21:00:: articulate%2:32:02::
hom_1670_10 sake%1:07:00:: different%5:00:01:other:00
hom_1671_10 attach%2:35:00:: glue%2:30:00::
hom_1675_10 rotation%1:11:00:: gyration%1:11:00::
hom_1676_12 chime%2:39:00:: noontide%1:28:00::
hom_1677_13 behind%4:02:01:: grinder%1:06:00::
hom_1678_1 tick%2:39:01:: want%2:42:01::
hom_1680_9 kernel%1:09:00:: heart%1:06:00::
hom_1682_14 light%1:10:00:: bulb%1:08:01::
hom_1685_10 trip%2:36:00:: sparkle%2:43:02::
hom_1686_7 charge%2:40:01:: bull%2:30:00::
hom_1687_13 work%2:41:01:: night%1:18:00::
hom_1689_7 vision%1:11:00:: bring%2:36:01::
hom_1690_4 smoke%1:19:00:: gasconade%2:32:00::
hom_1692_11 backhand%2:35:00:: compliment%2:32:01::
hom_1694_12 blow%2:39:05:: player%1:18:03::
hom_1697_26 touch%2:35:01:: contact%2:35:03::
hom_1698_17 hell%1:11:00:: blaze%2:32:00::
hom_1700_16 tire%2:29:01:: insomnia%1:26:00::
hom_1701_7 note%1:10:04:: paper%2:35:01::
hom_1702_5 inadequate%5:00:00:insufficient:00 supply%2:32:00::
hom_1703_13 incense%1:09:00:: room%2:42:00::
hom_1704_15 point%1:10:02:: accost%2:32:00::
hom_1707_13 tie%1:10:00:: twist%2:38:01::
hom_1708_3 sag%2:38:00:: flag%2:30:01::
hom_1709_5 relative%1:05:00:: thing%1:03:00::
hom_1711_7 hum%2:42:00:: die%2:30:02::
hom_1713_13 attractive%3:00:01:: steam%2:30:00::
hom_1714_8 change%2:30:00:: die%2:30:02::
